t_start_file ,t_filter, x, y, z, r, p, y, u, v, h, rRate, pRate, yRate, cx, cx, bx, by, bz, t_real, x_real, y_real, z_real, r_real, p_real, y_real, u_real, v_real, h_real, rRate_real, pRate_real, yRate_real, t_motor,hp, hs
1594377505.212181,1594377505.095931,44.393063,8.945122,0.436412,0.000000,0.000000,0.960781,1.000542,0.000000,0.000000,0.000000,0.000000,0.006652,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.082576,44.393063,8.945122,0.000000,0.000000,0.000000,0.961448,1.000478,0.000000,0.000000,0.000000,0.000000,0.006703,1594377505.108003,20.652594,19.083214
1594377505.312657,1594377505.196403,44.393063,8.945123,0.436394,0.000000,0.000000,0.961448,1.000478,0.000000,0.000000,0.000000,0.000000,0.006703,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.182346,44.393063,8.945123,0.000000,0.000000,0.000000,0.962119,1.000419,0.000000,0.000000,0.000000,0.000000,0.006752,1594377505.208900,20.659129,19.084426
1594377505.412358,1594377505.300674,44.393064,8.945124,0.436375,0.000000,0.000000,0.962119,1.000419,0.000000,0.000000,0.000000,0.000000,0.006752,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.284806,44.393064,8.945124,0.000000,0.000000,0.000000,0.962814,1.000364,0.000000,0.000000,0.000000,0.000000,0.006802,1594377505.309304,20.665216,19.085569
1594377505.512348,1594377505.396830,44.393064,8.945125,0.436357,0.000000,0.000000,0.962814,1.000364,0.000000,0.000000,0.000000,0.000000,0.006802,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.382386,44.393064,8.945125,0.000000,0.000000,0.000000,0.963480,1.000315,0.000000,0.000000,0.000000,0.000000,0.006847,1594377505.409826,20.671072,19.086479
1594377505.612364,1594377505.501491,44.393065,8.945126,0.436338,0.000000,0.000000,0.963480,1.000315,0.000000,0.000000,0.000000,0.000000,0.006847,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.482390,44.393065,8.945126,0.000000,0.000000,0.000000,0.964167,1.000270,0.000000,0.000000,0.000000,0.000000,0.006892,1594377505.510261,20.676346,19.087857
1594377505.712489,1594377505.595806,44.393065,8.945127,0.436320,0.000000,0.000000,0.964167,1.000270,0.000000,0.000000,0.000000,0.000000,0.006892,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.583639,44.393065,8.945127,0.000000,0.000000,0.000000,0.964868,1.000228,0.000000,0.000000,0.000000,0.000000,0.006936,1594377505.610656,20.681747,19.088203
1594377505.812226,1594377505.697786,44.393066,8.945128,0.436301,0.000000,0.000000,0.964167,1.000270,0.000000,0.000000,0.000000,0.000000,0.006892,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.682489,44.393066,8.945128,0.000000,0.000000,0.000000,0.965556,1.000191,0.000000,0.000000,0.000000,0.000000,0.006978,1594377505.711333,20.686009,19.089630
1594377505.913157,1594377505.794204,44.393066,8.945129,0.436283,0.000000,0.000000,0.965556,1.000191,0.000000,0.000000,0.000000,0.000000,0.006978,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.782607,44.393066,8.945129,0.000000,0.000000,0.000000,0.966256,1.000156,0.000000,0.000000,0.000000,0.000000,0.007018,1594377505.711333,20.686009,19.089630
1594377506.012093,1594377505.894019,44.393067,8.945130,0.436265,0.000000,0.000000,0.966256,1.000156,0.000000,0.000000,0.000000,0.000000,0.007018,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.882538,44.393067,8.945130,0.000000,0.000000,0.000000,0.966960,1.000123,0.000000,0.000000,0.000000,0.000000,0.007060,1594377505.912579,20.694296,19.091296
1594377506.112185,1594377505.993542,44.393067,8.945131,0.436246,0.000000,0.000000,0.966960,1.000123,0.000000,0.000000,0.000000,0.000000,0.007060,0.000000,0.000000,0.000000,0.000000,0.000000,1594377505.982598,44.393067,8.945131,0.000000,0.000000,0.000000,0.967669,1.000093,0.000000,0.000000,0.000000,0.000000,0.007098,1594377505.912579,20.694296,19.091296
