time,accelerometer_x,accelerometer_y,accelerometer_z,gyro_x,gyro_y,gyro_z
1567977298.7311068,0.027349948753096456,0.0,9.81,0.0,0.0,9.81
1567977298.831153,0.02171742285788767,0.0,9.81,0.0,0.0,9.81
1567977298.9313328,0.016979028087170746,0.0,9.81,0.0,0.0,9.81
1567977299.0311046,0.01397839723450737,0.0,9.81,0.0,0.0,9.81
1567977299.1312094,0.013639407932963792,0.0,9.81,0.0,0.0,9.81
1567977299.2312875,0.006078445831199489,0.0,9.81,0.0,0.0,9.81
1567977299.3311083,0.01541153068975568,0.0,9.81,0.0,0.0,9.81
1567977299.4313014,0.02471593804246808,0.0,9.81,0.0,0.0,9.81
1567977299.5312715,0.029639257103024192,0.0,9.81,0.0,0.0,9.81
1567977299.6311655,0.03381823914217307,0.0,9.81,0.0,0.0,9.81
1567977299.731352,0.03499859512162146,0.0,9.81,0.0,0.0,9.81
1567977299.8312855,0.03929394484777575,0.0,9.81,0.0,0.0,9.81
1567977299.9311283,0.03503606834004835,0.0,9.81,0.0,0.0,9.81
1567977300.031236,0.02453456772177667,0.0,9.81,0.0,0.0,9.81
1567977300.131123,0.018326082628372688,0.0,9.81,0.0,0.0,9.81
1567977300.2311075,0.012821077082238333,0.0,9.81,0.0,0.0,9.81
1567977300.3311672,0.009600835350902842,0.0,9.81,0.0,0.0,9.81
1567977300.4311764,0.005601070281623777,0.0,9.81,0.0,0.0,9.81
1567977300.5311205,0.006022378915080609,0.0,9.81,0.0,0.0,9.81
1567977300.6311808,0.004107263205196006,0.0,9.81,0.0,0.0,9.81
1567977300.731261,0.015841232607691963,0.0,9.81,0.0,0.0,9.81
1567977300.8311703,0.02517171379365401,0.0,9.81,0.0,0.0,9.81
1567977300.9312623,0.029106583138366275,0.0,9.81,0.0,0.0,9.81
1567977301.0311325,0.03349112790870699,0.0,9.81,0.0,0.0,9.81
1567977301.1311471,0.0344654771504397,0.0,9.81,0.0,0.0,9.81
1567977301.2312422,0.035031170759577464,0.0,9.81,0.0,0.0,9.81
1567977301.331165,0.027456544742098715,0.0,9.81,0.0,0.0,9.81
1567977301.4312172,0.017034383553570367,0.0,9.81,0.0,0.0,9.81
1567977301.5312178,0.010250542176521833,0.0,9.81,0.0,0.0,9.81
1567977301.6311543,0.0049396264864275,0.0,9.81,0.0,0.0,9.81
1567977301.7312062,0.0018668038109171904,0.0,9.81,0.0,0.0,9.81
1567977301.8311007,0.00017072621267146814,0.0,9.81,0.0,0.0,9.81
1567977301.9311914,0.003995367541040764,0.0,9.81,0.0,0.0,9.81
1567977302.0312185,0.012237896165987791,0.0,9.81,0.0,0.0,9.81
1567977302.1312726,0.019429044699071342,0.0,9.81,0.0,0.0,9.81
1567977302.2311895,0.024767472316361533,0.0,9.81,0.0,0.0,9.81
1567977302.3312778,0.028130384992086165,0.0,9.81,0.0,0.0,9.81
1567977302.4313486,0.029917513826880508,0.0,9.81,0.0,0.0,9.81
1567977302.531294,0.02767543452027411,0.0,9.81,0.0,0.0,9.81
1567977302.6311417,0.0208311987763436,0.0,9.81,0.0,0.0,9.81
1567977302.7311785,0.01307941898515594,0.0,9.81,0.0,0.0,9.81
1567977302.83118,0.006631457113836632,0.0,9.81,0.0,0.0,9.81
1567977302.9312499,0.002027107351823645,0.0,9.81,0.0,0.0,9.81
1567977303.0311105,-0.0009299084388284484,0.0,9.81,0.0,0.0,9.81
1567977303.1312873,-0.0007605000059209033,0.0,9.81,0.0,0.0,9.81
1567977303.2311215,0.003656768778432422,0.0,9.81,0.0,0.0,9.81
1567977303.3312273,0.010253786435476826,0.0,9.81,0.0,0.0,9.81
1567977303.4312496,0.016503188601310514,0.0,9.81,0.0,0.0,9.81
1567977303.5311944,0.021237364708041467,0.0,9.81,0.0,0.0,9.81
1567977303.6312509,0.024361367554924556,0.0,9.81,0.0,0.0,9.81
1567977303.7311845,0.02491772617281015,0.0,9.81,0.0,0.0,9.81
1567977303.831119,0.02171692416900058,0.0,9.81,0.0,0.0,9.81
1567977303.931195,0.015670918390091233,0.0,9.81,0.0,0.0,9.81
1567977304.0312376,0.008997525198120826,0.0,9.81,0.0,0.0,9.81
1567977304.1312046,0.0033032950276002285,0.0,9.81,0.0,0.0,9.81
1567977304.2313018,-0.0009328434198218361,0.0,9.81,0.0,0.0,9.81
1567977304.3312097,-0.0029679571218018453,0.0,9.81,0.0,0.0,9.81
1567977304.4312434,-0.0017552344953547562,0.0,9.81,0.0,0.0,9.81
1567977304.5312667,0.0025396866077501555,0.0,9.81,0.0,0.0,9.81
1567977304.631209,0.008285650059851123,0.0,9.81,0.0,0.0,9.81
1567977304.7313187,0.013736261167570945,0.0,9.81,0.0,0.0,9.81
1567977304.8311477,0.018009704607214162,0.0,9.81,0.0,0.0,9.81
1567977304.9312239,0.020417955005428753,0.0,9.81,0.0,0.0,9.81
1567977305.0312347,0.01999976384889948,0.0,9.81,0.0,0.0,9.81
1567977305.131172,0.016524309072032537,0.0,9.81,0.0,0.0,9.81
1567977305.231286,0.011032490039388136,0.0,9.81,0.0,0.0,9.81
1567977305.331156,0.005148688221012208,0.0,9.81,0.0,0.0,9.81
1567977305.4312038,4.164171146328499e-05,0.0,9.81,0.0,0.0,9.81
1567977305.5312238,-0.0035243090502002873,0.0,9.81,0.0,0.0,9.81
1567977305.6311922,-0.004668889107942391,0.0,9.81,0.0,0.0,9.81
1567977305.731237,-0.0028994329614525326,0.0,9.81,0.0,0.0,9.81
1567977305.8312192,0.001193618981188962,0.0,9.81,0.0,0.0,9.81
1567977305.9311366,0.006326187212331007,0.0,9.81,0.0,0.0,9.81
1567977306.03111,0.011172668275444124,0.0,9.81,0.0,0.0,9.81
1567977306.1311846,0.014820609822807711,0.0,9.81,0.0,0.0,9.81
1567977306.2311141,0.016449266200543492,0.0,9.81,0.0,0.0,9.81
1567977306.3312883,0.015387075669697197,0.0,9.81,0.0,0.0,9.81
1567977306.431345,0.011853523524475093,0.0,9.81,0.0,0.0,9.81
1567977306.5313368,0.006815241801900811,0.0,9.81,0.0,0.0,9.81
