time,yaw,pitch,roll
1567977298.7311068,4.365594889732501,0.0,0.0
1567977298.831153,4.3649034822539114,0.0,0.0
1567977298.9313328,4.364205898601412,0.0,0.0
1567977299.0311046,4.363612635726524,0.0,0.0
1567977299.1312094,4.363053333507025,0.0,0.0
1567977299.2312875,4.36253324662615,0.0,0.0
1567977299.3311083,4.361896399989963,0.0,0.0
1567977299.4313014,4.361461934663696,0.0,0.0
1567977299.5312715,4.36115933696783,0.0,0.0
1567977299.6311655,4.360810085014245,0.0,0.0
1567977299.731352,4.360409415997864,0.0,0.0
1567977299.8312855,4.359972549791841,0.0,0.0
1567977299.9311283,4.359597543593184,0.0,0.0
1567977300.031236,4.359130689554954,0.0,0.0
1567977300.131123,4.358744241088871,0.0,0.0
1567977300.2311075,4.358006512188744,0.0,0.0
1567977300.3311672,4.357325551818999,0.0,0.0
1567977300.4311764,4.35677093019871,0.0,0.0
1567977300.5311205,4.356201950753233,0.0,0.0
1567977300.6311808,4.355674842295672,0.0,0.0
1567977300.731261,4.355124381749093,0.0,0.0
1567977300.8311703,4.354776970561673,0.0,0.0
1567977300.9312623,4.354502043542221,0.0,0.0
1567977301.0311325,4.354144302849004,0.0,0.0
1567977301.1311471,4.353756654260291,0.0,0.0
1567977301.2312422,4.353343499910107,0.0,0.0
1567977301.331165,4.35293420569354,0.0,0.0
1567977301.4312172,4.352402168908599,0.0,0.0
1567977301.5312178,4.3517629657896855,0.0,0.0
1567977301.6311543,4.351147632156316,0.0,0.0
1567977301.7312062,4.3505733593011655,0.0,0.0
1567977301.8311007,4.350028548577701,0.0,0.0
1567977301.9311914,4.349490116000567,0.0,0.0
1567977302.0312185,4.349031320709308,0.0,0.0
1567977302.1312726,4.348680106906883,0.0,0.0
1567977302.2311895,4.3483531389850185,0.0,0.0
1567977302.3312778,4.347997624706247,0.0,0.0
1567977302.4313486,4.347611478118353,0.0,0.0
1567977302.531294,4.347212377356389,0.0,0.0
1567977302.6311417,4.346760838233335,0.0,0.0
1567977302.7311785,4.346215805871104,0.0,0.0
1567977302.83118,4.345619810914531,0.0,0.0
1567977302.9312499,4.345030398515828,0.0,0.0
1567977303.0311105,4.344469547841127,0.0,0.0
1567977303.1312873,4.343925852580442,0.0,0.0
1567977303.2311215,4.343423243000959,0.0,0.0
1567977303.3312273,4.342996921987236,0.0,0.0
1567977303.4312496,4.342635449331562,0.0,0.0
1567977303.5311944,4.342290340179263,0.0,0.0
1567977303.6312509,4.3419277703711305,0.0,0.0
1567977303.7311845,4.341546903628803,0.0,0.0
1567977303.831119,4.34113444552986,0.0,0.0
1567977303.931195,4.3406600260909425,0.0,0.0
1567977304.0312376,4.34011968919339,0.0,0.0
1567977304.1312046,4.339546855320739,0.0,0.0
1567977304.2313018,4.338977052784202,0.0,0.0
1567977304.3312097,4.338424676092519,0.0,0.0
1567977304.4312434,4.337898261734601,0.0,0.0
1567977304.5312667,4.337422691745427,0.0,0.0
