time,desired_speed,desired_jog
1567977298.7458773,2.356896254582586,-0.20767093924861335
1567977298.8458383,2.358192630031725,-0.20763219975559544
1567977298.9465187,2.3602661964642837,-0.20756305973164135
1567977299.046441,2.358340739984744,-0.20745246952190488
1567977299.1463394,2.364324717972849,-0.20755516053414702
1567977299.2466736,2.3704085708844027,-0.20723601504144806
1567977299.346094,2.374555540012097,-0.2069115428861652
1567977299.4470036,2.378032295613797,-0.20669037119935485
1567977299.5461679,2.3807646311923563,-0.20650494423393084
1567977299.6464252,2.385695287109263,-0.20635921966974102
1567977299.7493184,2.386795925548985,-0.20609625135417264
1567977299.846955,2.3849016815751916,-0.2060375506373875
1567977299.9471514,2.3849016815751916,-0.20613857698265647
1567977300.0471475,2.385304383673426,-0.20613857698265647
1567977300.1472876,2.3863820695352427,-0.2061170995374173
1567977300.2469335,2.386283612194329,-0.20605962295812041
1567977300.347246,2.387865140031803,-0.20606487401630247
1567977300.44727,2.387935351783999,-0.2059805258649705
1567977300.547243,2.3945700996578005,-0.20597678123818675
1567977300.6472852,2.4001303857471905,-0.20562292801825066
1567977300.7472434,2.403316436281572,-0.20532637942681653
1567977300.8473198,2.406766718995207,-0.2051564567316495
1567977300.9476388,2.409414329515364,-0.20497244165358897
1567977301.0469577,2.412488410435082,-0.2048312357591806
1567977301.1467476,2.411754120944554,-0.20466728477679563
1567977301.247844,2.4096242671482417,-0.20470644688295714
1567977301.3472786,2.4090387345434565,-0.20482003908542712
1567977301.447308,2.408979933657013,-0.20485126749101568
1567977301.54722,2.40936962210912,-0.20485440353829265
1567977301.6473203,2.4096760186055612,-0.20483362015418027
1567977301.7477274,2.412253255177133,-0.2048172790077034
1567977301.8470628,2.4168300472826703,-0.20467982639055293
1567977301.9474194,2.420954537470238,-0.20443573081159094
1567977302.0472987,2.424291208972285,-0.2042157580015873
1567977302.1474674,2.4270778054197755,-0.20403780218814482
1567977302.2460315,2.429720804572078,-0.20388918371094533
1567977302.3460557,2.4308642015060116,-0.20374822375615587
1567977302.446091,2.4299717217779575,-0.20368724258634607
1567977302.5461974,2.428613045397904,-0.20373484150517562
1567977302.64632,2.4277531882493877,-0.20380730424544513
1567977302.7462611,2.427445092872044,-0.203853163293366
1567977302.8462105,2.427365361111267,-0.20386959504682434
1567977302.947118,2.428253345105952,-0.2038738474073991
1567977303.0479174,2.4308610318689086,-0.2038264882610159
1567977303.1458943,2.434413110809342,-0.20368741163365822
1567977303.2459776,2.4378255563470344,-0.2034979674235018
1567977303.3459463,2.4407083251949184,-0.20331597032815818
1567977303.448177,2.4432352840447704,-0.20316222265627104
1567977303.5461905,2.4450075686759556,-0.20302745151761226
1567977303.646316,2.4453149997294537,-0.2029329296706157
1567977303.7462208,2.4443946813025033,-0.2029165333477625
1567977303.8463912,2.443151569343266,-0.20296561699719984
1567977303.9467356,2.442203542045002,-0.20303191630169248
1567977304.0478919,2.441583815686871,-0.2030824777575999
1567977304.1469653,2.4415322425768387,-0.20311552983003356
1567977304.2468731,2.4426093454369417,-0.20311828039590196
1567977304.3460543,2.4449067799219297,-0.2030608349100298
1567977304.446275,2.447805133180492,-0.20293830507083044
1567977304.546223,2.4506244959258408,-0.20278372623037377
1567977304.6469967,2.4531210940534733,-0.2026333602172885
1567977304.7461586,2.4551101511121667,-0.2025002083171481
1567977304.846506,2.4561344266458565,-0.2023941252740178
1567977304.9469125,2.455958166470568,-0.20233949724555433
1567977305.0463352,2.454931240157349,-0.2023488977882364
1567977305.1462011,2.453670029057942,-0.20240366719160807
1567977305.2465787,2.452566308073068,-0.20247093178357645
1567977305.3456814,2.451836244262179,-0.20252979690276973
1567977305.4458735,2.4518419830836473,-0.20256873363935046
1567977305.54602,2.452892264162421,-0.20256842756887217
1567977305.6464725,2.454840351798127,-0.20251241257800423
1567977305.7461917,2.4572212963380693,-0.20240851457076658
1567977305.8462172,2.4595639468528776,-0.20228153086196965
1567977305.946687,2.4615907713990586,-0.20215658950117987
1567977306.047494,2.462992960608468,-0.20204849219205023
1567977306.145943,2.4634331935695535,-0.2019737087675484
1567977306.2462177,2.4629094858812874,-0.2019502296762905
1567977306.3461032,2.461742226477404,-0.20197816075299801
1567977306.4463606,2.460377858484203,-0.2020404145878718
1567977306.546309,2.459165351352538,-0.2021131808808425
1567977306.646466,2.4583990547819403,-0.20217784792786464
1567977306.7461622,2.458412002050864,-0.20221871707829653
1567977306.8462446,2.459323671200903,-0.20221802655728727
1567977306.9468594,2.4609358974808653,-0.20216940420261853
1567977307.04755,2.4628678753545965,-0.20208341880102054
1567977307.146309,2.4647623216323136,-0.2019803799810882
1567977307.2465022,2.466280727831505,-0.20187934284627662
