time,latitude,longitude,vehicle_heading,vehicle_speed,vehicle_state,vehicle_track,llc_status
1567977298.7458773,44.39296361991553,8.94449552616963,4.366781136552024,2.3167892658097338,LatLong Move,4.365864127096014,0
1567977298.8458383,44.392962914473685,8.944492795535611,4.366343008763337,2.3200984968717546,LatLong Move,4.365595210612883,0
1567977298.9465187,44.39296220810685,8.944490065250621,4.365862926789557,2.3227308489796137,LatLong Move,4.364904549924667,0
1567977299.046441,44.39296149974727,8.944487330672315,4.365594889732501,2.324822783101427,LatLong Move,4.364207506502726,0
1567977299.1463394,44.392960788772996,8.944484589520874,4.3649034822539114,2.3264545369229084,LatLong Move,4.363614149562068,0
1567977299.2466736,44.39296007462659,8.944481842672081,4.364205898601412,2.3278103578724862,LatLong Move,4.363054761792007,0
1567977299.346094,44.39295936158517,8.944479105458743,4.363612635726524,2.329103998082107,LatLong Move,4.3625345094918195,0
1567977299.4470036,44.392958644571046,8.944476357926076,4.363053333507025,2.3297277349462044,LatLong Move,4.361897411505129,0
1567977299.5461679,44.39295792627285,8.944473610089313,4.36253324662615,2.3312609305367475,LatLong Move,4.361462703800516,0
1567977299.6464252,44.39295720842674,8.94447086878572,4.361896399989963,2.3336770343232733,LatLong Move,4.361159855886054,0
1567977299.7493184,44.39295648644272,8.944468116566558,4.361461934663696,2.3365644158148817,LatLong Move,4.360811063820545,0
1567977299.846955,44.392955042188504,8.944462619664684,4.360810085014245,2.3398551470990405,LatLong Move,4.360410495261622,0
1567977299.9471514,44.392955042188504,8.944462619664684,4.360810085014245,2.343263736533576,LatLong Move,4.359973764584289,0
1567977300.0471475,44.392954315787215,8.9444598595302,4.360409415997864,2.347051751819512,LatLong Move,4.359598268229341,0
1567977300.1472876,44.39295358935819,8.944457102860662,4.359972549791841,2.350411860772025,LatLong Move,4.359131499696252,0
1567977300.2469335,44.39295286164556,8.944454344856823,4.359597543593184,2.352764769663561,LatLong Move,4.358744930958167,0
1567977300.347246,44.39295213008671,8.944451575721896,4.359130689554954,2.3545204205223533,LatLong Move,4.358007840321344,0
1567977300.44727,44.39295139836611,8.944448809802235,4.358744241088871,2.355752350103236,LatLong Move,4.357326586888899,0
1567977300.547243,44.39295066427518,8.944446039301553,4.358006512188744,2.3566686047064502,LatLong Move,4.356771873420302,0
1567977300.6472852,44.39294992764146,8.944443265743438,4.357325551818999,2.3572129255178713,LatLong Move,4.356203447217771,0
1567977300.7472434,44.39294918984669,8.944440492947122,4.35677093019871,2.357790074065366,LatLong Move,4.355675731021282,0
1567977300.8473198,44.3929484512057,8.944437721679629,4.356201950753233,2.358232212708525,LatLong Move,4.355125316847275,0
1567977300.9476388,44.39294771042153,8.944434947097964,4.355674842295672,2.3598018243965067,LatLong Move,4.3547776632841035,0
1567977301.0469577,44.39294696828383,8.944432171943307,4.355124381749093,2.3622590021016436,LatLong Move,4.354502795311458,0
1567977301.1467476,44.39294622615179,8.944429400819743,4.354776970561673,2.3650934708821096,LatLong Move,4.354144910494519,0
1567977301.247844,44.39294548144856,8.944426622550706,4.354502043542221,2.3683438457371517,LatLong Move,4.353757144271217,0
1567977301.3472786,44.39294473694444,8.944423847643815,4.354144302849004,2.371690296938261,LatLong Move,4.353344599594848,0
1567977301.447308,44.39294398964286,8.944421065534529,4.353756654260291,2.3750543136781723,LatLong Move,4.3529349264027335,0
1567977301.54722,44.39294323990177,8.944418277720889,4.353343499910107,2.377677593082588,LatLong Move,4.3524031794966564,0
1567977301.6473203,44.39294248955763,8.944415491180168,4.35293420569354,2.3793031494925634,LatLong Move,4.351764096460926,0
1567977301.7477274,44.39294173637926,8.944412697996315,4.352402168908599,2.3802756302667736,LatLong Move,4.351148657102883,0
1567977301.8470628,44.39294098173465,8.944409904394139,4.3517629657896855,2.380742657991745,LatLong Move,4.350574327519343,0
1567977301.9474194,44.39294022588737,8.944407111735856,4.351147632156316,2.3809173294400665,LatLong Move,4.350029325276283,0
1567977302.0472987,44.39293946775019,8.94440431563521,4.3505733593011655,2.3809487983075295,LatLong Move,4.349491030970356,0
1567977302.1474674,44.392938709586986,8.944401524156751,4.350028548577701,2.381367558059435,LatLong Move,4.349032050176271,0
1567977302.2460315,44.392937948823715,8.944398727663808,4.349490116000567,2.3825810142555577,LatLong Move,4.348680791331805,0
1567977302.3460557,44.39293718745751,8.944395933219251,4.349031320709308,2.384482288648262,LatLong Move,4.348354010469585,0
1567977302.446091,44.39293642481361,8.944393137495725,4.348680106906883,2.386898551590027,LatLong Move,4.347998579526351,0
1567977302.5461974,44.39293566204891,8.944390344113732,4.3483531389850185,2.3896339261687882,LatLong Move,4.347612501993222,0
1567977302.64632,44.39293489660217,8.944387543767327,4.347997624706247,2.392523014930873,LatLong Move,4.347213436309961,0
1567977302.7462611,44.39293412971576,8.944384741281233,4.347611478118353,2.3951757929970405,LatLong Move,4.34676208745767,0
1567977302.8462105,44.39293336209076,8.944381939410823,4.347212377356389,2.3971651515376866,LatLong Move,4.346216808827581,0
1567977302.947118,44.39293259348301,8.94437913749169,4.346760838233335,2.3984081248968407,LatLong Move,4.345620866612549,0
1567977303.0479174,44.392931821671944,8.94437632807046,4.346215805871104,2.3990329433677386,LatLong Move,4.345031906167762,0
1567977303.1458943,44.3929310484582,8.944373518381596,4.345619810914531,2.399218408069956,LatLong Move,4.344470845763837,0
1567977303.2459776,44.39293027321312,8.944370706326824,4.345030398515828,2.399128793595971,LatLong Move,4.343927012831635,0
1567977303.3459463,44.3929294983003,8.944367900301224,4.344469547841127,2.3990722627929513,LatLong Move,4.343423892350675,0
1567977303.448177,44.39292871980942,8.944365085943806,4.343925852580442,2.399452610452996,LatLong Move,4.342997452101594,0
1567977303.5461905,44.39292794295227,8.944362281882931,4.343423243000959,2.4004712513918602,LatLong Move,4.342636030740849,0
