time,latitude,longitude,altitude,track,speed,err,err_latitude,err_longitude,err_track,err_speed,err_climb
1567977298.7311068,44.39296149974728,8.944487330672315,0.0,4.365595210612883,2.3200984968717546,0.0,0.0,0.0,0.0,0.0,0.0
1567977298.831153,44.392960788773,8.944484589520874,0.0,4.364904549924667,2.3227308489796137,0.0,0.0,0.0,0.0,0.0,0.0
1567977298.9313328,44.3929600746266,8.944481842672081,0.0,4.364207506502726,2.324822783101427,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.0311046,44.39295936158516,8.944479105458743,0.0,4.363614149562068,2.3264545369229084,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.1312094,44.39295864457105,8.944476357926076,0.0,4.363054761792007,2.3278103578724862,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.2312872,44.39295792627285,8.944473610089313,0.0,4.3625345094918195,2.329103998082107,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.3311083,44.392957208426736,8.94447086878572,0.0,4.361897411505129,2.3297277349462044,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.4313014,44.39295648644271,8.944468116566558,0.0,4.361462703800516,2.3312609305367475,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.5312715,44.39295576476429,8.944465368474813,0.0,4.361159855886054,2.3336770343232733,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.6311655,44.3929550421885,8.944462619664684,0.0,4.360811063820545,2.3365644158148817,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.731352,44.392954315787215,8.9444598595302,0.0,4.360410495261622,2.3398551470990405,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.8312855,44.3929535893582,8.944457102860662,0.0,4.359973764584289,2.343263736533576,0.0,0.0,0.0,0.0,0.0,0.0
1567977299.9311283,44.39295286164556,8.944454344856823,0.0,4.359598268229341,2.347051751819512,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.0312362,44.39295213008672,8.944451575721896,0.0,4.359131499696252,2.350411860772025,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.1311233,44.392951398366115,8.944448809802235,0.0,4.358744930958167,2.352764769663561,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.2311075,44.39295066427518,8.944446039301553,0.0,4.358007840321344,2.3545204205223533,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.3311672,44.392949927641475,8.944443265743438,0.0,4.357326586888899,2.355752350103236,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.4311764,44.392949189846696,8.944440492947122,0.0,4.356771873420302,2.3566686047064502,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.5311205,44.3929484512057,8.944437721679629,0.0,4.356203447217771,2.3572129255178713,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.6311808,44.39294771042154,8.944434947097964,0.0,4.355675731021282,2.357790074065366,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.731261,44.39294696828383,8.944432171943307,0.0,4.355125316847275,2.358232212708525,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.8311703,44.392946226151786,8.944429400819743,0.0,4.3547776632841035,2.3598018243965067,0.0,0.0,0.0,0.0,0.0,0.0
1567977300.9312623,44.39294548144855,8.944426622550706,0.0,4.354502795311458,2.3622590021016436,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.0311325,44.39294473694444,8.944423847643815,0.0,4.354144910494519,2.3650934708821096,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.131147,44.39294398964286,8.944421065534529,0.0,4.353757144271217,2.3683438457371517,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.2312422,44.39294323990176,8.944418277720889,0.0,4.353344599594848,2.371690296938261,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.331165,44.39294248955764,8.944415491180168,0.0,4.3529349264027335,2.3750543136781723,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.4312172,44.392941736379264,8.944412697996315,0.0,4.3524031794966564,2.377677593082588,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.5312176,44.392940981734654,8.944409904394139,0.0,4.351764096460926,2.3793031494925634,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.631154,44.39294022588737,8.944407111735856,0.0,4.351148657102883,2.3802756302667736,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.7312062,44.39293946775018,8.94440431563521,0.0,4.350574327519343,2.380742657991745,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.8311007,44.392938709586986,8.944401524156751,0.0,4.350029325276283,2.3809173294400665,0.0,0.0,0.0,0.0,0.0,0.0
1567977301.9311912,44.392937948823715,8.944398727663808,0.0,4.349491030970356,2.3809487983075295,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.0312188,44.392937187457505,8.944395933219251,0.0,4.349032050176271,2.381367558059435,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.1312726,44.39293642481361,8.944393137495725,0.0,4.348680791331805,2.3825810142555577,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.2311895,44.392935662048906,8.944390344113732,0.0,4.348354010469585,2.384482288648262,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.3312778,44.392934896602156,8.944387543767327,0.0,4.347998579526351,2.386898551590027,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.4313486,44.39293412971576,8.944384741281233,0.0,4.347612501993222,2.3896339261687882,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.531294,44.392933362090766,8.944381939410823,0.0,4.347213436309961,2.392523014930873,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.6311417,44.392932593483025,8.94437913749169,0.0,4.34676208745767,2.3951757929970405,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.7311788,44.39293182167194,8.94437632807046,0.0,4.346216808827581,2.3971651515376866,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.83118,44.392931048458216,8.944373518381596,0.0,4.345620866612549,2.3984081248968407,0.0,0.0,0.0,0.0,0.0,0.0
1567977302.9312499,44.39293027321311,8.944370706326824,0.0,4.345031906167762,2.3990329433677386,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.0311108,44.3929294983003,8.944367900301224,0.0,4.344470845763837,2.399218408069956,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.1312876,44.39292871980942,8.944365085943806,0.0,4.343927012831635,2.399128793595971,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.2311213,44.39292794295228,8.944362281882931,0.0,4.343423892350675,2.3990722627929513,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.3312273,44.39292716298423,8.944359470502427,0.0,4.342997452101594,2.399452610452996,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.4312496,44.39292638265209,8.944356661078686,0.0,4.342636030740849,2.4004712513918602,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.5311944,44.392925601788235,8.944353852656505,0.0,4.342290956799779,2.402087653204218,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.6312509,44.3929248187408,8.944351039320754,0.0,4.341928737194346,2.4041590653402753,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.7311845,44.39292403518132,8.9443482272478,0.0,4.341547598615884,2.4065200810613545,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.831119,44.39292325003653,8.944345412780379,0.0,4.341135114613133,2.4089209381792833,0.0,0.0,0.0,0.0,0.0,0.0
1567977303.931195,44.39292246215689,8.944342592192356,0.0,4.340660908999126,2.4110036045231853,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.0312376,44.3929216729291,8.94433977101319,0.0,4.340121252867942,2.41249748780773,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.1312046,44.39292088278487,8.94433695121814,0.0,4.339547592304466,2.413346965771516,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.2313018,44.39292009026349,8.944334127718832,0.0,4.338978265403346,2.41365137583764,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.3312094,44.39291929807543,8.944331310068694,0.0,4.338425483825672,2.4135535575119773,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.4312432,44.392918503859974,8.9443284896927,0.0,4.337899073168455,2.413270702696605,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.5312665,44.392917708784736,8.944325670430437,0.0,4.337423495567606,2.413117079038457,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.631209,44.39291691343711,8.944322853877479,0.0,4.337011684360972,2.4133845697014826,0.0,0.0,0.0,0.0,0.0,0.0
1567977304.7313185,44.3929161157903,8.944320032396462,0.0,4.336643191727626,2.414209915520066,0.0,0.0,0.0,0.0,0.0,0.0
