time,latitude,longitude,altitude,yaw,pitch,roll,accelerometer_x,accelerometer_y,accelerometer_z,gyro_x,gyro_y,gyro_z,speed_x,speed_y,current_x,current_y
1567977298.7498453,44.39296220810685,8.944490065250621,0.0,4.365862926789557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.141065703638874,-39.62819490586655,-0.005308148594445473,-0.008064949814511224
1567977298.8495977,44.39296149974727,8.944487330672315,0.0,4.365594889732501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.561621648354599,35.242014747455976,0.005055958879649626,0.029387638736935354
1567977298.949939,44.392960788772996,8.944484589520874,0.0,4.3649034822539114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.122524031286451,-39.54609291431186,-0.00527203667733746,-0.007983120327813314
1567977299.0498867,44.39296007462659,8.944481842672081,0.0,4.364205898601412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.533883913013561,35.1574298831364,0.005074727164394961,0.029409268421734865
1567977299.1498191,44.39295936158517,8.944479105458743,0.0,4.363612635726524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.109521299207351,-39.49450971974352,-0.00523388394279851,-0.007898205872844712
1567977299.2499604,44.392958644571046,8.944476357926076,0.0,4.363053333507025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.505981236875833,35.074309705991396,0.0050862728943127525,0.029404422191812912
1567977299.3498642,44.39295792627285,8.944473610089313,0.0,4.36253324662615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.09107986102297,-39.418237058070986,-0.005192780161834208,-0.007799660015391216
1567977299.4498553,44.39295720842674,8.94447086878572,0.0,4.361896399989963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.476238196364719,34.97459152876522,0.00510999430547794,0.029434660610750507
1567977299.5497422,44.39295648644272,8.944468116566558,0.0,4.361461934663696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.080092675388402,-39.36611999840703,-0.005155924358203044,-0.007721308559667607
1567977299.6497405,44.392955764764274,8.944465368474813,0.0,4.36115933696783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.464097361958473,34.9344934624256,0.005131948487970133,0.029454559711207154
